วันที่,จำนวนคนตาย,จำนวนคนบาดเจ็บ,,,,,,,,,,,,,,,,,
2016-07-10,12,1780,,,,,,,,,,,,,,,,,
2016-07-11,37,2628,,,,,,,,,,,,,,,,,
2016-07-12,15,2316,,,,,,,,,,,,,,,,,
2016-07-13,21,2032,,,,,,,,,,,,,,,,,
2016-07-14,27,2129,,,,,,,,,,,,,,,,,
2016-07-15,37,2251,,,,,,,,,,,,,,,,,
2016-07-16,17,1679,,,,,,,,,,,,,,,,,
2016-07-17,29,1867,,,,,,,,,,,,,,,,,
2016-07-18,23,1825,,,,,,,,,,,,,,,,,
2016-07-19,26,1856,,,,,,,,,,,,,,,,,
2016-07-20,32,1720,,,,,,,,,,,,,,,,,
2016-07-21,25,2441,,,,,,,,,,,,,,,,,
2016-07-22,17,1928,,,,,,,,,,,,,,,,,
2016-07-23,22,1376,,,,,,,,,,,,,,,,,
2016-07-24,10,1460,,,,,,,,,,,,,,,,,
2016-07-25,37,2427,,,,,,,,,,,,,,,,,
2016-07-26,21,2189,,,,,,,,,,,,,,,,,
2016-07-27,25,1992,,,,,,,,,,,,,,,,,
2016-07-28,22,2016,,,,,,,,,,,,,,,,,
2016-07-29,26,2175,,,,,,,,,,,,,,,,,
2016-07-30,17,1750,,,,,,,,,,,,,,,,,
2016-07-31,17,1929,,,,,,,,,,,,,,,,,
2016-08-01,37,2603,,,,,,,,,,,,,,,,,
2016-08-02,23,2207,,,,,,,,,,,,,,,,,
2016-08-03,16,2190,,,,,,,,,,,,,,,,,
2016-08-04,26,2184,,,,,,,,,,,,,,,,,
2016-08-05,17,2106,,,,,,,,,,,,,,,,,
2016-08-06,18,1658,,,,,,,,,,,,,,,,,
2016-08-07,18,1867,,,,,,,,,,,,,,,,,
2016-08-08,30,2787,,,,,,,,,,,,,,,,,
2016-08-09,21,2250,,,,,,,,,,,,,,,,,
2016-08-10,13,2010,,,,,,,,,,,,,,,,,
2016-08-11,14,2075,,,,,,,,,,,,,,,,,
2016-08-12,8,1613,,,,,,,,,,,,,,,,,
2016-08-13,14,1667,,,,,,,,,,,,,,,,,
2016-08-14,13,1618,,,,,,,,,,,,,,,,,
2016-08-15,27,2606,,,,,,,,,,,,,,,,,
2016-08-16,25,1991,,,,,,,,,,,,,,,,,
2016-08-17,20,1994,,,,,,,,,,,,,,,,,
2016-08-18,28,2124,,,,,,,,,,,,,,,,,
2016-08-19,27,2161,,,,,,,,,,,,,,,,,
2016-08-20,6,1421,,,,,,,,,,,,,,,,,
2016-08-21,5,1848,,,,,,,,,,,,,,,,,
2016-08-22,40,3085,,,,,,,,,,,,,,,,,
2016-08-23,28,2169,,,,,,,,,,,,,,,,,
2016-08-24,25,2018,,,,,,,,,,,,,,,,,
2016-08-25,19,2101,,,,,,,,,,,,,,,,,
2016-08-26,20,2009,,,,,,,,,,,,,,,,,
2016-08-27,13,1598,,,,,,,,,,,,,,,,,
2016-08-28,17,1493,,,,,,,,,,,,,,,,,
2016-08-29,30,2497,,,,,,,,,,,,,,,,,
2016-08-30,18,1826,,,,,,,,,,,,,,,,,
2016-08-31,18,1864,,,,,,,,,,,,,,,,,
2016-09-01,12,2102,,,,,,,,,,,,,,,,,
2016-09-02,30,2967,,,,,,,,,,,,,,,,,
2016-09-03,9,1556,,,,,,,,,,,,,,,,,
2016-09-04,18,2536,,,,,,,,,,,,,,,,,
2016-09-05,41,2882,,,,,,,,,,,,,,,,,
2016-09-06,14,2255,,,,,,,,,,,,,,,,,
2016-09-07,21,2374,,,,,,,,,,,,,,,,,
2016-09-08,26,2567,,,,,,,,,,,,,,,,,
2016-09-09,31,2613,,,,,,,,,,,,,,,,,
2016-09-10,12,2297,,,,,,,,,,,,,,,,,
2016-09-11,18,2379,,,,,,,,,,,,,,,,,
2016-09-12,39,3125,,,,,,,,,,,,,,,,,
2016-09-13,20,2589,,,,,,,,,,,,,,,,,
2016-09-14,26,2401,,,,,,,,,,,,,,,,,
2016-09-15,16,2624,,,,,,,,,,,,,,,,,
2016-09-16,16,2860,,,,,,,,,,,,,,,,,
2016-09-17,16,2412,,,,,,,,,,,,,,,,,
2016-09-18,10,2466,,,,,,,,,,,,,,,,,
2016-09-19,32,3212,,,,,,,,,,,,,,,,,
2016-09-20,19,2526,,,,,,,,,,,,,,,,,
2016-09-21,25,2442,,,,,,,,,,,,,,,,,
2016-09-22,14,2512,,,,,,,,,,,,,,,,,
2016-09-23,15,2443,,,,,,,,,,,,,,,,,
2016-09-24,10,1965,,,,,,,,,,,,,,,,,
2016-09-25,20,2091,,,,,,,,,,,,,,,,,
2016-09-26,30,2971,,,,,,,,,,,,,,,,,
2016-09-27,31,2427,,,,,,,,,,,,,,,,,
2016-09-28,23,2543,,,,,,,,,,,,,,,,,
2016-09-29,21,2602,,,,,,,,,,,,,,,,,
2016-09-30,28,2991,,,,,,,,,,,,,,,,,
2016-10-01,9,2510,,,,,,,,,,,,,,,,,
2016-10-02,20,2296,,,,,,,,,,,,,,,,,
2016-10-03,32,3317,,,,,,,,,,,,,,,,,
2016-10-04,30,2742,,,,,,,,,,,,,,,,,
2016-10-05,22,2432,,,,,,,,,,,,,,,,,
2016-10-06,24,2795,,,,,,,,,,,,,,,,,
2016-10-07,22,2567,,,,,,,,,,,,,,,,,
2016-10-08,11,2049,,,,,,,,,,,,,,,,,
2016-10-09,9,2031,,,,,,,,,,,,,,,,,
2016-10-10,39,3034,,,,,,,,,,,,,,,,,
2016-10-11,28,2627,,,,,,,,,,,,,,,,,
2016-10-12,27,2520,,,,,,,,,,,,,,,,,
2016-10-13,28,2338,,,,,,,,,,,,,,,,,
2016-10-14,16,2392,,,,,,,,,,,,,,,,,
2016-10-15,8,1988,,,,,,,,,,,,,,,,,
2016-10-16,8,2137,,,,,,,,,,,,,,,,,
2016-10-17,35,3119,,,,,,,,,,,,,,,,,
2016-10-18,35,2459,,,,,,,,,,,,,,,,,
2016-10-19,21,2576,,,,,,,,,,,,,,,,,
2016-10-20,24,2664,,,,,,,,,,,,,,,,,
2016-10-21,28,2537,,,,,,,,,,,,,,,,,
2016-10-22,13,2141,,,,,,,,,,,,,,,,,
2016-10-23,19,2252,,,,,,,,,,,,,,,,,
2016-10-24,13,2265,,,,,,,,,,,,,,,,,
2016-10-25,24,2730,,,,,,,,,,,,,,,,,
2016-10-26,24,2532,,,,,,,,,,,,,,,,,
2016-10-27,18,2616,,,,,,,,,,,,,,,,,
2016-10-28,25,2682,,,,,,,,,,,,,,,,,
2016-10-29,10,2258,,,,,,,,,,,,,,,,,
2016-10-30,16,2196,,,,,,,,,,,,,,,,,
2016-10-31,53,3462,,,,,,,,,,,,,,,,,
2016-11-01,31,2931,,,,,,,,,,,,,,,,,
2016-11-02,34,2960,,,,,,,,,,,,,,,,,
2016-11-03,27,2933,,,,,,,,,,,,,,,,,
2016-11-04,21,3010,,,,,,,,,,,,,,,,,
2016-11-05,14,2460,,,,,,,,,,,,,,,,,
2016-11-06,13,2547,,,,,,,,,,,,,,,,,
2016-11-07,31,3398,,,,,,,,,,,,,,,,,
2016-11-08,26,2999,,,,,,,,,,,,,,,,,
2016-11-09,19,2822,,,,,,,,,,,,,,,,,
2016-11-10,23,2753,,,,,,,,,,,,,,,,,
2016-11-11,24,2817,,,,,,,,,,,,,,,,,
2016-11-12,16,2582,,,,,,,,,,,,,,,,,
2016-11-13,15,2526,,,,,,,,,,,,,,,,,
2016-11-14,38,3679,,,,,,,,,,,,,,,,,
2016-11-15,33,3711,,,,,,,,,,,,,,,,,
2016-11-16,31,2257,,,,,,,,,,,,,,,,,
2016-11-17,32,2297,,,,,,,,,,,,,,,,,
2016-11-18,23,2371,,,,,,,,,,,,,,,,,
2016-11-19,11,1781,,,,,,,,,,,,,,,,,
2016-11-20,24,1795,,,,,,,,,,,,,,,,,
2016-11-21,30,5279,,,,,,,,,,,,,,,,,
2016-11-22,35,2889,,,,,,,,,,,,,,,,,
2016-11-23,35,3043,,,,,,,,,,,,,,,,,
2016-11-24,16,2831,,,,,,,,,,,,,,,,,
2016-11-25,24,3073,,,,,,,,,,,,,,,,,
2016-11-26,23,2668,,,,,,,,,,,,,,,,,
2016-11-27,27,2770,,,,,,,,,,,,,,,,,
2016-11-28,57,3489,,,,,,,,,,,,,,,,,
2016-11-29,22,2864,,,,,,,,,,,,,,,,,
2016-11-30,31,2926,,,,,,,,,,,,,,,,,
2016-12-01,19,3222,,,,,,,,,,,,,,,,,
2016-12-02,24,3226,,,,,,,,,,,,,,,,,
2016-12-03,9,2560,,,,,,,,,,,,,,,,,
2016-12-04,18,2693,,,,,,,,,,,,,,,,,
2016-12-05,22,2631,,,,,,,,,,,,,,,,,
2016-12-06,48,3187,,,,,,,,,,,,,,,,,
2016-12-07,30,2976,,,,,,,,,,,,,,,,,
2016-12-08,20,2711,,,,,,,,,,,,,,,,,
2016-12-09,23,3055,,,,,,,,,,,,,,,,,
2016-12-10,19,2626,,,,,,,,,,,,,,,,,
2016-12-11,11,2717,,,,,,,,,,,,,,,,,
2016-12-12,20,2511,,,,,,,,,,,,,,,,,
2016-12-13,44,3316,,,,,,,,,,,,,,,,,
2016-12-14,33,3067,,,,,,,,,,,,,,,,,
2016-12-15,27,2908,,,,,,,,,,,,,,,,,
2016-12-16,30,3046,,,,,,,,,,,,,,,,,
2016-12-17,19,2453,,,,,,,,,,,,,,,,,
2016-12-18,5,2691,,,,,,,,,,,,,,,,,
2016-12-19,48,3374,,,,,,,,,,,,,,,,,
2016-12-20,30,2855,,,,,,,,,,,,,,,,,
2016-12-21,25,2901,,,,,,,,,,,,,,,,,
2016-12-22,22,2925,,,,,,,,,,,,,,,,,
2016-12-23,21,2985,,,,,,,,,,,,,,,,,
2016-12-24,22,2639,,,,,,,,,,,,,,,,,
2016-12-25,19,2918,,,,,,,,,,,,,,,,,
2016-12-26,41,3585,,,,,,,,,,,,,,,,,
2016-12-27,46,3150,,,,,,,,,,,,,,,,,
2016-12-28,36,3428,,,,,,,,,,,,,,,,,
2016-12-29,57,3624,,,,,,,,,,,,,,,,,
2016-12-30,85,4207,,,,,,,,,,,,,,,,,
2016-12-31,77,3819,,,,,,,,,,,,,,,,,
2017-01-01,115,4569,,,,,,,,,,,,,,,,,
2017-01-02,69,2951,,,,,,,,,,,,,,,,,
2017-01-03,91,2501,,,,,,,,,,,,,,,,,
2017-01-04,81,2758,,,,,,,,,,,,,,,,,
2017-01-05,41,2627,,,,,,,,,,,,,,,,,
2017-01-06,22,2512,,,,,,,,,,,,,,,,,
2017-01-07,16,1942,,,,,,,,,,,,,,,,,
2017-01-08,27,2187,,,,,,,,,,,,,,,,,
2017-01-09,41,2985,,,,,,,,,,,,,,,,,
2017-01-10,31,2636,,,,,,,,,,,,,,,,,
2017-01-11,47,2622,,,,,,,,,,,,,,,,,
2017-01-12,31,2469,,,,,,,,,,,,,,,,,
2017-01-13,44,2676,,,,,,,,,,,,,,,,,
2017-01-14,16,2439,,,,,,,,,,,,,,,,,
2017-01-15,20,2526,,,,,,,,,,,,,,,,,
2017-01-16,62,3057,,,,,,,,,,,,,,,,,
2017-01-17,42,2671,,,,,,,,,,,,,,,,,
2017-01-18,55,2590,,,,,,,,,,,,,,,,,
2017-01-19,31,2636,,,,,,,,,,,,,,,,,
2017-01-20,43,2618,,,,,,,,,,,,,,,,,
2017-01-21,15,2343,,,,,,,,,,,,,,,,,
2017-01-22,25,2558,,,,,,,,,,,,,,,,,
2017-01-23,50,3633,,,,,,,,,,,,,,,,,
2017-01-24,62,2745,,,,,,,,,,,,,,,,,
2017-01-25,37,2747,,,,,,,,,,,,,,,,,
2017-01-26,29,2806,,,,,,,,,,,,,,,,,
2017-01-27,34,2887,,,,,,,,,,,,,,,,,
2017-01-28,22,2682,,,,,,,,,,,,,,,,,
2017-01-29,33,2627,,,,,,,,,,,,,,,,,
2017-01-30,59,3472,,,,,,,,,,,,,,,,,
2017-01-31,47,2511,,,,,,,,,,,,,,,,,
2017-02-01,51,3174,,,,,,,,,,,,,,,,,
2017-02-02,55,3160,,,,,,,,,,,,,,,,,
2017-02-03,54,3109,,,,,,,,,,,,,,,,,
2017-02-04,22,2567,,,,,,,,,,,,,,,,,
2017-02-05,35,2860,,,,,,,,,,,,,,,,,
2017-02-06,66,3658,,,,,,,,,,,,,,,,,
2017-02-07,40,3048,,,,,,,,,,,,,,,,,
2017-02-08,38,2959,,,,,,,,,,,,,,,,,
2017-02-09,54,2990,,,,,,,,,,,,,,,,,
2017-02-10,51,2947,,,,,,,,,,,,,,,,,
2017-02-11,27,2762,,,,,,,,,,,,,,,,,
2017-02-12,17,2401,,,,,,,,,,,,,,,,,
2017-02-13,22,2637,,,,,,,,,,,,,,,,,
2017-02-14,46,3333,,,,,,,,,,,,,,,,,
2017-02-15,56,2971,,,,,,,,,,,,,,,,,
2017-02-16,53,2878,,,,,,,,,,,,,,,,,
2017-02-17,65,3099,,,,,,,,,,,,,,,,,
2017-02-18,27,2590,,,,,,,,,,,,,,,,,
2017-02-19,39,2804,,,,,,,,,,,,,,,,,
2017-02-20,66,3709,,,,,,,,,,,,,,,,,
2017-02-21,48,2972,,,,,,,,,,,,,,,,,
2017-02-22,48,2844,,,,,,,,,,,,,,,,,
2017-02-23,32,2871,,,,,,,,,,,,,,,,,
2017-02-24,48,2934,,,,,,,,,,,,,,,,,
2017-02-25,25,2686,,,,,,,,,,,,,,,,,
2017-02-26,19,2704,,,,,,,,,,,,,,,,,
2017-02-27,64,3517,,,,,,,,,,,,,,,,,
2017-02-28,45,3117,,,,,,,,,,,,,,,,,
2017-03-01,57,3203,,,,,,,,,,,,,,,,,
2017-03-02,41,3294,,,,,,,,,,,,,,,,,
2017-03-03,41,3404,,,,,,,,,,,,,,,,,
2017-03-04,29,2888,,,,,,,,,,,,,,,,,
2017-03-05,27,2620,,,,,,,,,,,,,,,,,
2017-03-06,31,3381,,,,,,,,,,,,,,,,,
2017-03-07,66,3186,,,,,,,,,,,,,,,,,
2017-03-08,56,3045,,,,,,,,,,,,,,,,,
2017-03-09,51,3314,,,,,,,,,,,,,,,,,
2017-03-10,53,3225,,,,,,,,,,,,,,,,,
2017-03-11,30,2593,,,,,,,,,,,,,,,,,
2017-03-12,26,2648,,,,,,,,,,,,,,,,,
2017-03-13,56,3503,,,,,,,,,,,,,,,,,
2017-03-14,55,3019,,,,,,,,,,,,,,,,,
2017-03-15,56,2973,,,,,,,,,,,,,,,,,
2017-03-16,44,2928,,,,,,,,,,,,,,,,,
2017-03-17,56,2729,,,,,,,,,,,,,,,,,
2017-03-18,18,2885,,,,,,,,,,,,,,,,,
2017-03-19,14,2600,,,,,,,,,,,,,,,,,
2017-03-20,45,3294,,,,,,,,,,,,,,,,,
2017-03-21,46,2738,,,,,,,,,,,,,,,,,
